dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,pkt_size_avg,totlen_fwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,totlen_bwd_pkts,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_bytes_s,flow_iat_tot,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,cwr_flag_cnt,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,down_up_ratio,fwd_bytes_b_avg,fwd_pkts_b_avg,bwd_bytes_b_avg,bwd_pkts_b_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_seg_size_min,fwd_blk_rate_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_bytes,subflow_bwd_pkts,subflow_bwd_bytes,init_fwd_win_bytes,init_bwd_win_bytes,fwd_act_data_pkts,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
53,17,1388651877.197452068328857421875,0.000000,1,0,0,0,0,86,86,86,0,0.0,86.0,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,86,0,86,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0
53,17,1388651877.197949886322021484375,0.000000,1,0,0,0,0,86,86,86,0,0.0,86.0,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,86,0,86,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0
55434,17,1388651877.3328020572662353515625,0.000000,1,0,0,0,0,148,148,148,0,0.0,148.0,148,148,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,148,0,148,0,0,1,148,0,0,0,0,0,0,0,0,0,0,0,0,0
32623,17,1388651877.3510138988494873046875,0.000000,1,0,0,0,0,118,118,118,0,0.0,118.0,118,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,118,0,118,0,0,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0
32623,17,1388651877.422461986541748046875,0.000000,1,0,0,0,0,118,118,118,0,0.0,118.0,118,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,118,0,118,0,0,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0
32623,1,1388651877.4227199554443359375,0.000000,1,0,0,0,0,146,146,146,0,0.0,146.0,146,146,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0,0,0,0,146,0,146,0,0,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6,1388651877.4481220245361328125,0.460536,6,0,13.028297462087653713069812511093914508819580078125,13.028297462087653713069812511093914508819580078125,0,74,156,89,30.1099999999999994315658113919198513031005859375,906.33,89.0,534,156,74,89,30.1099999999999994315658113919198513031005859375,0,0,0,0,0,1159.51847412580127638648264110088348388671875,0.46053600311279296875,0.0921072006225585881988848768742172978818416595458984375,0.0751421284058671201666612660119426436722278594970703125,0.1554949283599853515625,0.0000870227813720703125,0.46053600311279296875,0.0921072006225585881988848768742172978818416595458984375,0.0751421284058671201666612660119426436722278594970703125,0.1554949283599853515625,0.0000870227813720703125,0,0,0,0,0,1,1,0,1,5,0,0,0,1,0,0,0,0,320,0.0,452,5,0,0,13.6666666666666660745477201999165117740631103515625,0,0,981.465068843483322780230082571506500244140625,0,6,534,0,0,29200,0,1,,,,,,,,
52573,6,1388651877.5964119434356689453125,0.308737,4,0,12.956011103301516840247131767682731151580810546875,12.956011103301516840247131767682731151580810546875,0,74,431,165.25,153.469999999999998863131622783839702606201171875,23551.69,165.25,661,431,74,165.25,153.469999999999998863131622783839702606201171875,0,0,0,0,0,2140.98083482057563742273487150669097900390625,0.3087370395660400390625,0.10291234652201335098009593593815225176513195037841796875,0.07172402117392266684969825973894330672919750213623046875,0.154468059539794921875,0.001483917236328125,0.3087370395660400390625,0.10291234652201335098009593593815225176513195037841796875,0.07172402117392266684969825973894330672919750213623046875,0.154468059539794921875,0.001483917236328125,0,0,0,0,0,1,1,0,1,4,0,0,0,1,0,0,0,0,216,0.0,579,3,0,0,89.25,0,0,1875.38236686417940290994010865688323974609375,0,4,661,0,0,28960,0,1,,,,,,,,
53,17,1388651885.8344271183013916015625,0.000000,1,0,0,0,0,86,86,86,0,0.0,86.0,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,86,0,86,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0
53,17,1388651885.83493804931640625,0.000000,1,0,0,0,0,86,86,86,0,0.0,86.0,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,86,0,86,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0
13326,17,1388651885.95973491668701171875,0.000000,1,0,0,0,0,148,148,148,0,0.0,148.0,148,148,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,148,0,148,0,0,1,148,0,0,0,0,0,0,0,0,0,0,0,0,0
26148,17,1388651885.9762439727783203125,0.000000,1,0,0,0,0,142,142,142,0,0.0,142.0,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,142,0,142,0,0,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0
